Borough_Name,Borough_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CityofLondon,E09000001,14837,18731,17366,16537,16230,17191,17779,3645,3353,3573,1579
BarkingandDagenham,E09000002,19647,26393,25668,23219,23036,24626,25728,18697,18317,20212,17998
Barnet,E09000003,10786,12324,12365,11916,12206,12347,13435,27002,28298,31620,26642
Bexley,E09000004,22677,31206,28619,24691,25212,25630,27690,14831,15386,18083,15175
Brent,E09000005,17029,22140,20657,19488,20186,21100,20753,29771,30825,30491,27911
Bromley,E09000006,26008,36223,33684,29305,27939,30345,30195,22792,23237,25220,21420
Camden,E09000007,24775,32374,32415,28453,28349,29340,30263,37959,35673,39838,29041
Croydon,E09000008,27440,32950,30990,26738,25716,27011,28053,30599,31063,33904,31718
Ealing,E09000009,18007,23595,22667,22368,22417,22844,23327,28364,28333,31863,28248
Enfield,E09000010,18861,22848,21495,19745,20626,21621,23570,25235,28020,30613,27868
Greenwich,E09000011,21593,27674,28576,26297,25201,27296,29182,25531,25724,28912,24533
Hackney,E09000012,18883,23680,22556,19348,19745,20468,20893,31841,31284,34510,30015
HammersmithandFulham,E09000013,19067,25360,24791,21480,23551,25481,28253,21726,22102,23866,18290
Haringey,E09000014,11811,14025,13819,12444,12303,12994,13618,30348,31065,32494,27698
Harrow,E09000015,13331,17454,16835,15483,15348,16387,17497,13961,14909,17380,15096
Havering,E09000016,18011,24055,21579,19118,21632,21990,22771,18972,18714,19211,16310
Hillingdon,E09000017,18466,24198,23824,20024,20365,21798,22923,24785,25071,27470,25665
Hounslow,E09000018,21583,27525,28021,24691,25694,28184,27890,24896,25493,27018,23711
Islington,E09000019,16538,20568,21365,18411,18460,19718,20278,32217,28803,30413,24656
KensingtonandChelsea,E09000020,8708,11088,10603,9470,9582,10088,10370,21523,22083,25265,17386
KingstonuponThames,E09000021,27336,36902,35922,33067,33093,34537,35543,11493,12382,13234,10507
Lambeth,E09000022,22164,27919,25328,22885,21842,24288,24967,35000,35118,36312,29604
Lewisham,E09000023,2289,3136,2679,2534,3085,3022,3261,25134,26120,29196,26673
Merton,E09000024,11211,14462,13692,12005,11914,12659,13235,13810,13831,14533,13243
Newham,E09000025,26938,31916,32748,28601,28826,30279,31240,34575,36076,36339,31839
Redbridge,E09000026,18377,24885,22917,20461,20317,19562,20219,23456,23571,24189,22581
RichmonduponThames,E09000027,9174,11985,11923,10758,10717,10739,11458,13241,12720,12946,11949
Southwark,E09000028,28483,34853,32773,32278,29871,31214,32572,34141,35734,40124,31135
Sutton,E09000029,9699,11868,11477,10366,10789,10877,11047,12063,12105,13965,12694
TowerHamlets,E09000030,22052,29387,29618,27539,26725,28600,30722,32049,33728,35440,30084
WalthamForest,E09000031,21259,25759,24445,22645,20892,21650,21494,22813,23716,24251,22955
Wandsworth,E09000032,19735,23358,26092,23085,22000,23226,24728,25334,25870,26386,24140
CityofWestminster,E09000033,49093,66357,63636,55729,49231,49037,50242,57230,63128,83034,46429
